,num_nodes,num_edges,time,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,giant_com_ratio,core_cnt,top10Degreemean,top10Degreestd,token
16,26,26,2022-07-06,2.0,2.2978250586152114,9.0,4.242640687119285,4.5,0.08000000000000004,0.0919130023446084,0.0775058275058275,0.2715911326004549,0.5236686390532546,0.03260869565217391,0.14539257208675643,0.1342216077287008,0.29230432398524575,0.12764216642785636,3,0.8461538461538461,2,9.0,4.242640687119285,Euler
17,57,60,2022-07-07,2.1052631578947367,4.025295954187342,22.5,3.5355339059327378,10.6875,0.037593984962406,0.07188028489620246,0.035180055401662046,0.1856206977299106,0.5469444444444445,0.0057692307692307696,0.09535320086421266,0.09274992528319094,0.26180453599046766,0.0908714378462434,3,0.9122807017543859,3,22.5,3.5355339059327378,Euler
18,64,70,2022-07-08,2.1875,2.8833126891636405,16.0,0.0,7.314285714285714,0.03472222222222218,0.04576686808196251,0.023697916666666666,0.13152895106833232,0.6534693877551021,0.017391304347826087,0.08796889763350657,0.08950784971742334,0.2522106822064226,0.060378243672451364,2,0.96875,4,16.0,0.0,Euler
19,27,26,2022-07-09,1.9259259259259258,2.5709310783618076,9.5,6.363961030678928,4.932692307692308,0.07407407407407408,0.09888196455237726,0.04978971645638313,0.20041288546051403,0.5073964497041421,0.02727272727272727,0.13547887123851218,0.13928772615515955,0.29561762044886664,0.09932125530533174,2,0.9259259259259259,2,9.5,6.363961030678928,Euler
20,43,44,2022-07-10,2.046511627906977,2.3999353996473776,12.0,2.8284271247461903,5.863636363636363,0.048726467331118455,0.05714131903922325,0.06252662066615555,0.23283018598998745,0.6348140495867769,0.03592814371257485,0.10311627746198315,0.11368109455239489,0.23888699711503003,0.10663965093055365,4,0.8372093023255814,3,12.0,2.8284271247461903,Euler
21,41,41,2022-07-11,2.0,2.7294688127912363,13.0,4.242640687119285,6.5,0.049999999999999954,0.06823672031978086,0.0,0.0,0.5978584176085663,0.0,0.10408906725839258,0.11787536947645072,0.27677601907270305,0.07739048824392368,2,0.9512195121951219,3,13.0,4.242640687119285,Euler
22,40,52,2022-07-12,2.6,3.395321064082914,14.0,11.313708498984761,5.384615384615384,0.06666666666666662,0.08705951446366436,0.12970779220779222,0.28782283483824195,0.5129437869822484,0.05844155844155844,0.11713514079753853,0.107557301557348,0.35575125152806775,0.0772424404588393,1,1.0,2,14.0,11.313708498984761,Euler
23,47,60,2022-07-13,2.5531914893617023,3.0984463893622696,13.5,2.1213203435596424,5.2875,0.05550416281221096,0.06735753020352755,0.07467071935157041,0.2500835045060875,0.5670833333333333,0.01910828025477707,0.1039423208485763,0.10344203533556393,0.307274947932558,0.04132861179153425,1,1.0,5,13.5,2.1213203435596424,Euler
24,76,94,2022-07-14,2.473684210526316,3.862550743435483,22.0,1.4142135623730951,8.893617021276595,0.0329824561403509,0.05150067657913987,0.06995552121410245,0.25081829770814185,0.5908216387505659,0.017191977077363897,0.08094746980321403,0.08181365347070044,0.2979171941981068,0.04814179095038845,1,1.0,3,22.0,1.4142135623730951,Euler
25,52,63,2022-07-15,2.423076923076923,3.1706135600082197,15.5,7.7781745930520225,6.396825396825397,0.04751131221719455,0.06216889333349456,0.0,0.0,0.5413202317964223,0.0,0.09486434783526233,0.10213786209201471,0.25412249121474767,0.09840443524568637,4,0.8846153846153846,4,15.5,7.7781745930520225,Euler
