,token_address,from_address,to_address,block_timestamp,value,from_ID,to_ID,timestamp
10,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x0234a7402ee7f7e375283fb7bf118751e9d9fdab,0x2ab8019a3191861f8235ec9fc5a9087d04682480,2022-06-23 10:41:34.000,1.3310110405203729e+20,423,1005,2022-06-23
11,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0xd524e29e3baf5bb085403ca5665301e94387a7e2,2022-06-23 14:10:18.000,2e+20,2965,177,2022-06-23
12,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0xd524e29e3baf5bb085403ca5665301e94387a7e2,0x75cfe4ef963232ae8313ac33e21fc39241338618,2022-06-23 14:20:13.000,2.7110250774944444e+19,177,3424,2022-06-23
13,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0xd524e29e3baf5bb085403ca5665301e94387a7e2,0x7594c04858fa87fbfb241702a29b2c636066d68e,2022-06-23 15:08:35.000,2.7855402453025563e+19,177,3576,2022-06-23
14,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0xd524e29e3baf5bb085403ca5665301e94387a7e2,0x2dbe4402f1cb582f2687faa42d859fe53874557f,2022-06-23 15:44:35.000,4.909201011174209e+18,177,2397,2022-06-23
15,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0xd524e29e3baf5bb085403ca5665301e94387a7e2,2022-06-23 15:49:38.000,4.998e+23,2965,177,2022-06-23
16,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0xcb8efb0c065071e4110932858a84365a80c8fef0,2022-06-23 15:51:09.000,6.11549e+23,2965,1124,2022-06-23
17,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,2022-06-23 16:55:36.000,9.473211e+22,2965,3400,2022-06-23
18,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x25aa4a183800ecab962d84ccc7ada58d4e126992,0x7ba13dcfcc7cb8495919dd1e5a94507a8c76eaa4,2022-06-23 16:56:26.000,1e+18,2965,1397,2022-06-23
19,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,0x8f4b168e96ba624a5eb199fc7ed9424e21d305b9,2022-06-23 17:02:50.000,6.7957e+20,3400,2627,2022-06-23
20,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,0x638ebad24edd2e2a3ff158d34600baad2a246c41,2022-06-23 17:04:32.000,6.795705e+22,3400,3781,2022-06-23
21,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0xd524e29e3baf5bb085403ca5665301e94387a7e2,0x2b9d8f558e02753ed7d4d97dedfad662c02af3cb,2022-06-23 17:05:21.000,3.69492198981349e+21,177,2398,2022-06-23
22,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,0x4640d80c335eba54b9d126c52eea2124496535ef,2022-06-23 17:06:01.000,2.03871e+21,3400,1082,2022-06-23
23,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0xd524e29e3baf5bb085403ca5665301e94387a7e2,0x3c9e21167338f994a169e94764b7bb3b810c73e0,2022-06-23 17:06:58.000,1.567536856443874e+20,177,3329,2022-06-23
24,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x2b9d8f558e02753ed7d4d97dedfad662c02af3cb,0xd9c3415bf8600f007a1b4199df967c25a3e00eea,2022-06-23 17:06:58.000,3.69492198981349e+21,2398,2494,2022-06-23
25,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0xd524e29e3baf5bb085403ca5665301e94387a7e2,0xfcee49aeb622a1f179d96ef192617d969dbd7b35,2022-06-23 17:07:45.000,1.1129147370271986e+21,177,1712,2022-06-23
26,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0xd524e29e3baf5bb085403ca5665301e94387a7e2,0x0a06f85c8bbd02578ad22c463f8d17276eb4987f,2022-06-23 17:07:45.000,4.3800362083968614e+19,177,404,2022-06-23
27,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0xd524e29e3baf5bb085403ca5665301e94387a7e2,0x09fc1031d03a78ed4f60463fa9749870d33439bc,2022-06-23 17:07:45.000,2.3970270180211648e+20,177,619,2022-06-23
28,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0xd524e29e3baf5bb085403ca5665301e94387a7e2,0xa005f646b9dc13e1f49b5f53c1c4552fd312f4fd,2022-06-23 17:07:45.000,3.338229559533321e+19,177,1235,2022-06-23
29,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0xd524e29e3baf5bb085403ca5665301e94387a7e2,0x268070d5eed5b24e34a5f4c17b5482178b18089d,2022-06-23 17:08:08.000,2.7524244156111864e+19,177,562,2022-06-23
30,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,0xef4998fee70fc1d8e984dc2648d5562634f74070,2022-06-23 17:08:25.000,2.17463e+21,3400,2789,2022-06-23
31,0xd9fcd98c322942075a5c3860693e9f4f03aae07b,0xd524e29e3baf5bb085403ca5665301e94387a7e2,0x05a027d03f575b14ca292b20ded0ca10032cbf71,2022-06-23 17:08:25.000,2.1849158877100953e+20,177,4,2022-06-23
